,0
0,0.5799846591210689
1,2.1525271725213946
2,0.03636374719408152
3,0.08940854775928248
4,0.026769423387918323
5,1.2412380770744709
6,0.09942795195560729
7,0.5514787977253879
8,0.8748118311264761
9,0.7790761687008501
10,0.01238918096139683
11,0.0008524667810434039
12,0.6819156289952847
13,0.15119379503306848
14,0.3188815514699994
15,0.12079001813764287
16,0.917076029624336
17,0.3500870457236035
18,0.04819083733555976
19,0.7378351624477112
20,0.2106686230342302
21,0.3006125874404185
22,0.7518041822825139
23,0.015156049647289371
24,0.007183173100429485
25,0.11338376166468789
26,0.7389109659176318
